S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
175,04-11-2021,17935.05,14.47,1.47,4680.06,0.44,16346.24,1.35,78.81,6.61,7080,1.58
176,03-11-2021,17947.95,13.82,5.57,4660.57,0.91,16144.5,1.3,80.86,4.25,7050,1.65
177,02-11-2021,17970.9,14.77,0.14,4630.65,0.47,15972.49,0.7,83.91,1.8,7166,2.06
178,01-11-2021,17783.15,14.69,1.45,4613.67,0.55,15905.28,0.79,84.05,2.59,7150,1.12
179,29-10-2021,17833.05,14.86,1.02,4605.38,0.89,15850.47,1.39,83.57,2.86,7100,1.34
180,28-10-2021,18187.65,15.18,0.6,4596.42,0.76,15778.16,0.86,82.81,3.26,7150,2.34
181,27-10-2021,18295.85,14.64,0.07,4551.68,0.72,15598.39,0.97,82.66,3.05,7292,2.36
182,26-10-2021,18154.5,15.18,0,4574.79,0.64,15559.49,1.24,84.65,2.3,7390,2.35
183,25-10-2021,18229.5,15.19,1.88,4566.48,0.78,15514.19,1.42,83.76,2.42,7448,2.87
184,22-10-2021,18230.7,14.77,0,4544.9,0.79,15355.07,1.19,83.76,3.01,7600,6.77
185,21-10-2021,18382.7,14.38,1.11,4549.78,0.54,15489.59,0.96,82.5,3.92,8084,2.82
186,20-10-2021,18439.9,14.38,0.91,4536.19,0.36,15388.71,0.81,83.87,3.63,7954,1.84
187,19-10-2021,18602.35,14.27,1.05,4519.63,0.53,15410.72,0.62,82.96,2.37,8062,1.84
188,18-10-2021,18500.1,13.88,0.79,4486.48,0.93,15300.89,1.54,82.44,2.48,7922,0.92
189,14-10-2021,18272.85,15.09,1.41,4438.23,1.21,15052.42,1.06,81.31,1.62,7834,2.74
190,13-10-2021,18097.85,14.28,2,4363.8,0.99,14774.6,0.85,80.44,2.04,7930,3.89
191,12-10-2021,17915.8,14.06,1.22,4350.64,0.76,14662.11,1.01,80.64,2.71,7754,3.63
192,11-10-2021,17867.55,13.68,0.07,4361.19,1.27,14713.73,1.35,80.52,3.31,7624,2.05
193,08-10-2021,17886.85,14,2.04,4391.36,0.59,14820.75,0.96,79.35,1.88,7650,1.41
194,07-10-2021,17810.55,13.94,1.22,4399.76,1.05,14897.13,0.89,78.3,5.24,7602,2.23
195,06-10-2021,17861.5,13.8,2.07,4363.55,1.75,14766.75,1.9,77.43,3.84,7446,2.15
196,05-10-2021,17661.35,13.58,1.55,4345.72,1.38,14674.15,1.68,78.93,2.59,7468,1.35
197,04-10-2021,17615.55,13.47,1.63,4300.46,1.79,14472.12,2.38,77.62,4.06,7412,1.73
198,01-10-2021,17531.9,13.68,0.07,4357.05,2.02,14791.87,1.89,75.88,2.37,7448,2.31
199,30-09-2021,17718.9,13.67,6.8,4307.54,1.77,14689.62,1.39,75.03,4.01,7450,1.14
200,29-09-2021,17657.95,13.36,1.06,4359.46,0.7,14752.89,1.27,74.83,2.78,7406,1.93
201,28-09-2021,17906.45,13.25,1.07,4352.63,1.68,14770.3,1.91,75.29,3.27,7352,3.23
202,27-09-2021,17932.2,13.44,2.77,4443.11,0.48,15204.83,0.89,75.45,2.14,7554,4.87
203,24-09-2021,17897.45,13.54,0.07,4455.48,0.74,15329.68,0.9,73.98,2.01,7826,1.54
204,23-09-2021,17670.85,14.13,1.73,4448.98,1.33,15316.58,1.04,73.3,2.64,7942,1.21
205,22-09-2021,17580.9,14.35,0.07,4395.64,1.13,15176.51,1.33,72.23,2.35,7964,1.16
206,21-09-2021,17450.5,14,1.6,4354.18,1.08,15027.77,1.02,70.56,2.81,7974,1.84
207,20-09-2021,17443.85,13.8,1.77,4357.73,2.25,15012.18,2.27,70.29,3.18,7840,2.7
208,17-09-2021,17709.65,13.73,0.58,4432.99,0.99,15333.47,1.27,71.97,2.12,8010,2.66
209,16-09-2021,17539.2,14.39,1.6,4473.76,0.95,15515.91,1.09,72.61,2.04,8140,1.44
210,15-09-2021,17387.65,15.15,0.46,4480.7,1.09,15503.53,1.32,72.61,3.52,8038,1.94
211,14-09-2021,17420.35,14.68,1.02,4443.05,1.13,15382.9,1.13,70.46,1.77,8106,1.52
212,13-09-2021,17363.55,14.74,0,4468.73,1.06,15434.5,1.37,70.45,2.1,8102,1.14
213,09-09-2021,17312.85,14.81,1.56,4458.58,1.41,15561.05,0.76,68.14,3.45,8092,2.04
214,08-09-2021,17375.75,15.04,0.13,4493.28,0.84,15620.85,0.91,69.3,2.11,8198,0.93
215,07-09-2021,17401.55,15.37,2.02,4514.07,0.62,15648.31,0.74,68.35,2.72,8200,0.91
216,06-09-2021,17399.35,15.84,0.82,4520.03,0.5,15675.76,0.58,68.8,1.76,8202,1.88
217,03-09-2021,17262.45,16,3.16,4535.43,0.45,15652.86,0.73,69.29,2.14,8068,1.27
218,02-09-2021,17095.4,15.6,0.64,4536.95,0.47,15604.25,0.82,69.99,4.08,8084,2.13
219,01-09-2021,17185.6,15.62,0.64,4524.09,0.33,15611.57,0.59,68.59,3.16,8062,1.36
220,31-08-2021,16947.5,15.65,0.32,4522.68,0.35,15582.51,0.53,68.5,1.73,7956,1.69
221,30-08-2021,16775.85,15.57,1.09,4528.79,0.52,15605.09,1.04,69.21,2.91,7990,1.42
222,27-08-2021,16642.55,15.73,4.73,4509.37,0.88,15432.95,1.01,68.74,2.27,8024,1.16
223,26-08-2021,16627.95,14.87,0.75,4469.91,0.6,15278.52,0.68,67.42,1.92,7978,1.23
224,25-08-2021,16654,15,0.33,4496.19,0.36,15368.92,0.41,68.36,2.42,8054,1.72
225,24-08-2021,16561.4,15.51,1.11,4486.23,0.23,15357.68,0.42,67.54,3.65,8138,1.47
226,23-08-2021,16592.25,15,1.08,4479.54,0.89,15312.82,1.33,65.64,6.9,8092,1.27
227,20-08-2021,16382.5,14.91,0,4441.67,0.85,15092.57,0.9,62.32,3.2,8036,1.3
228,18-08-2021,16691.95,14.82,1.75,4400.27,1.29,14857.92,1.3,65.46,4.88,8088,1.55
229,17-08-2021,16545.25,15.07,0.07,4448.08,1,15002.83,1.05,66.59,2.1,8076,1.66
230,16-08-2021,16518.4,14.79,0,4479.66,0.96,15140.77,1.41,67.29,3.86,7992,2.97
231,13-08-2021,16385.7,13.86,0.72,4468,0.17,15136.68,0.47,68.44,2.14,7930,2.08
232,12-08-2021,16303.65,13.74,1.39,4460.84,0.58,15088.98,0.95,69.09,1.69,7974,3.45
233,11-08-2021,16327.3,13.33,1.37,4447.7,0.29,15027.76,1.04,69.25,4.17,8098,4.25
234,10-08-2021,16274.8,13.09,0.84,4436.75,0.34,15053.58,1.06,68.29,3.52,7850,1.62
235,09-08-2021,16281.35,13.45,1.93,4432.35,0.33,15133.11,0.48,66.48,4.22,7806,2.09
236,06-08-2021,16304.4,15.3,0.39,4436.52,0.27,15109.36,0.66,68.28,3.51,7844,6.36
